WL,A25ME,A30ME,A35ME,A40ME,A45ME,A50ME,A55ME,A60ME,A65ME,A70ME,A75MEREF,A80ME,A85ME,A90ME
245.2,-20167.07637,-11763.75971,16609.77262,-11199.02904,-33741.74748,-32645.99842,-73320.85628,-23396.01362,-44819.24111,-62910.24516,-36515.34985,1241.177608,23779.90391,-2194.503171
245.1,-28574.85085,-16813.97678,12797.03954,-15511.67524,-41207.20961,-39653.73755,-77567.33166,-27406.26413,-52158.13288,-71147.66708,-42127.43185,-1040.481993,15040.53897,-9522.329985
245,-37335.66907,-20283.29821,8202.316556,-19295.01455,-48194.64972,-47400.2018,-80465.91231,-32242.40614,-59769.46934,-78181.27751,-47003.37586,-4249.400827,7526.35919,-15430.91698
244.9,-45680.55639,-24285.1903,1978.374331,-24561.21717,-54604.76182,-55552.24843,-83183.99089,-38101.45955,-66351.52608,-84495.46679,-49747.12673,-7235.744887,-959.108794,-21270.98484
244.8,-53537.27218,-28566.29342,-4889.934413,-29776.47323,-60984.02737,-64197.64085,-84794.97684,-43513.33749,-73709.3238,-89584.55051,-51946.98327,-10899.89711,-9257.885497,-27539.40182
244.7,-60659.04404,-32931.17975,-11465.76214,-35644.48209,-66592.32818,-72260.33199,-86055.10816,-49700.16037,-80794.0798,-94784.28379,-55397.41865,-14750.08387,-17925.76605,-33601.24642
244.6,-67595.53759,-37981.25751,-19157.06082,-42369.62702,-72253.16763,-80290.5845,-86735.32434,-55413.53846,-87197.62457,-101517.7871,-57918.27832,-18303.44723,-26223.34869,-39717.02273
244.5,-73985.35067,-42909.34214,-27445.07108,-49958.07733,-77889.92687,-87058.31757,-88032.27251,-61413.68996,-93150.41169,-108493.0876,-60883.52732,-22134.68824,-33725.82668,-46211.11705
244.4,-80366.60632,-48335.74781,-36502.81222,-56852.38076,-83241.10676,-92099.63889,-90286.8568,-67633.74751,-98480.29751,-114377.8133,-64495.55882,-26382.15867,-41811.00595,-52327.49039
244.3,-86756.81742,-53777.87527,-46613.31626,-62206.74481,-89995.10814,-98126.65674,-93070.21066,-74428.14792,-102382.8836,-119452.7674,-69955.39817,-30284.14774,-49678.46828,-58930.64219
