WL,Beta25ME,Beta30ME,Beta35ME,Beta40ME,Beta45 ME,Beta50ME,Beta55ME,Beta60ME,Beta65ME,Beta70ME,Beta75ME,Beta80ME,Beta85ME,Beta90ME
243.3,-360075.5556,-399074.2081,-405438.3712,-300193.9333,-428046.1704,-404501.3531,-382852.4557,-456817.201,-463422.0842,-392322.1076,-404157.183,-426012.9804,-498053.954,-487635.3475
243.2,-368862.8355,-414187.8521,-406727.5171,-317939.5835,-452643.3922,-419776.1404,-398944.8956,-465495.0627,-476003.1932,-388020.9758,-422565.3109,-433918.9461,-495382.1594,-480554.9922
243.1,-379124.2776,-429989.8363,-407061.7401,-335906.0596,-478018.4783,-432442.7945,-421276.165,-473828.7542,-492801.8782,-387559.4297,-439407.7632,-440364.6755,-495328.445,-476532.3796
243,-391162.2741,-444057.044,-407571.0323,-349639.0442,-499287.3961,-446893.9607,-446040.4984,-482781.1562,-513830.0758,-389027.6236,-455273.409,-446671.1454,-497343.7301,-472197.4276
242.9,-403884.6321,-456311.8876,-410463.6529,-364557.7248,-519304.9669,-463095.8189,-472531.6506,-492417.9196,-532968.3218,-389584.662,-471686.146,-452641.4028,-499790.72,-470343.2857
242.8,-413835.7243,-462562.6536,-411599.6132,-381477.7646,-534561.8494,-477817.5467,-496979.6658,-500560.6266,-552062.8006,-391721.3019,-481969.4718,-462552.7065,-500687.9496,-474471.3377
242.7,-424069.3145,-466650.9172,-414402.7097,-397488.6382,-547747.7428,-489654.6115,-519836.1428,-507087.9224,-570695.7333,-397015.1556,-495006.1585,-474922.9367,-500389.5362,-480182.9702
242.6,-436113.2793,-470271.6665,-418590.4444,-414018.7512,-557720.7186,-498694.5481,-543396.8754,-514267.7488,-589314.74,-403353.4562,-509150.9537,-487794.5013,-501117.6649,-490533.9363
242.5,-451871.4962,-470166.2271,-422676.7186,-431334.6861,-569028.5971,-511291.5724,-566824.3168,-523265.9075,-604794.4378,-409383.3963,-520991.9974,-505707.263,-501256.9245,-507519.6271
242.4,-465377.6867,-472201.4065,-425499.7094,-445555.0793,-582017.5377,-522460.1913,-585805.3984,-534645.4051,-619711.1289,-421733.7323,-531884.0865,-523723.4747,-503546.75,-531864.1922
242.3,-477377.8842,-474749.8569,-429066.7442,-458538.0516,-593452.7392,-529739.4888,-603214.8362,-548475.8715,-632467.3071,-435261.8064,-541994.3325,-546086.5749,-508979.8633,-557810.2427
242.2,-489065.7424,-478527.7705,-437350.7002,-470621.8049,-604874.0147,-534559.86,-619792.6953,-561691.6063,-645860.1005,-448523.2979,-549530.2655,-569661.2335,-517860.6461,-587705.2971
242.1,-502197.9214,-483559.0205,-447148.6068,-483206.8927,-612831.7054,-539215.109,-633919.5856,-576795.3032,-659975.0543,-465125.03,-558989.9703,-591988.5241,-533883.4562,-616774.7411
242,-515801.5936,-494365.5644,-457111.6355,-496327.1351,-619315.2338,-547829.3091,-644320.2873,-589390.3381,-669709.2994,-478883.8772,-573659.973,-617190.5304,-553069.4484,-647334.2627
241.9,-529908.5898,-508120.4327,-468920.8485,-512009.754,-624557.3626,-559276.4472,-650543.2014,-600485.3483,-679198.8455,-492402.0042,-584987.7457,-644079.5672,-575211.7227,-676624.5326
241.8,-542654.8208,-520884.5685,-483364.0571,-529098.8947,-626928.7544,-569708.9796,-649554.4584,-610901.9654,-689533.8963,-506938.7157,-600825.5396,-672124.4585,-601679.0019,-708467.2318
241.7,-558249.9051,-535254.1685,-501802.0263,-548907.5762,-627740.4388,-580931.3129,-645314.9987,-623347.7936,-698659.378,-523598.1411,-617258.1708,-698667.3357,-625665.471,-740992.303
241.6,-578022.777,-548368.4427,-520206.1754,-569706.9902,-629950.6874,-592987.2143,-636804.2485,-634225.9567,-708879.0423,-544363.7349,-636499.8668,-725437.0071,-648798.4777,-774868.1921
241.5,-597141.1288,-559194.8808,-536129.5144,-587367.0952,-634779.0162,-608864.7966,-625595.8412,-648416.5086,-716409.0071,-565750.0285,-657167.9789,-748474.5216,-673698.0918,-807224.1624
241.4,-615292.6212,-564759.296,-554032.329,-605478.7992,-641073.5495,-622247.6428,-613927.8772,-663643.5497,-722204.1953,-590317.409,-680251.2501,-772924.5262,-696550.59,-833225.9166
241.3,-630943.4093,-571807.8205,-574598.9805,-623962.5252,-650230.8621,-637078.7888,-606258.6529,-677776.4083,-726696.3117,-614361.5714,-704191.9625,-797569.4942,-719413.0353,-858143.4355
241.2,-649663.8766,-584534.1573,-592028.3125,-644403.8431,-661689.9366,-653624.8171,-604090.1822,-696168.6209,-731451.0319,-639921.6738,-730112.1504,-818800.6129,-744991.0425,-880952.1664
241.1,-669349.2139,-603459.5352,-612714.3294,-662185.3029,-676373.8653,-672335.3373,-605554.3972,-717164.9877,-735610.9146,-662780.1402,-756607.2815,-840598.717,-772449.0542,-896895.3997
241,-688750.0637,-626216.5411,-637029.0532,-682057.6459,-690506.724,-697107.6284,-611367.4903,-736675.2558,-741356.3673,-684438.9848,-781270.1543,-859446.5074,-795245.8485,-907763.6157
240.9,-702423.3657,-648169.8202,-661015.5223,-700799.9968,-704372.9999,-722112.6819,-619870.2827,-750595.2462,-751017.0038,-707900.2463,-807986.1113,-873666.9006,-815730.9337,-914221.2817
240.8,-716977.982,-671732.5422,-685149.2087,-718575.4884,-716983.9502,-747627.0276,-630812.1074,-762139.8659,-762758.5764,-727816.3566,-834678.1952,-888605.4754,-836397.0564,-917957.4174
240.7,-731964.3029,-695740.895,-710653.6073,-737755.5123,-731544.5347,-774631.4508,-644785.8122,-769976.2018,-778369.576,-749345.8887,-861234.9984,-901037.3777,-857114.904,-917257.1407
240.6,-745820.6318,-717226.6598,-733333.0257,-754759.1078,-744063.9716,-804379.288,-660929.9772,-781196.5456,-793091.3038,-771384.713,-889019.2753,-910705.9718,-876597.3202,-915711.3592
240.5,-757295.6217,-740779.4347,-755493.2048,-773732.2318,-755314.1567,-834626.4702,-678800.961,-796180.8772,-806633.3038,-792406.9424,-920163.6872,-916544.9273,-891919.8536,-912251.7532
240.4,-764551.0462,-761441.5786,-777201.7849,-794438.1429,-765975.4728,-859824.4977,-697272.7504,-810254.0531,-819301.9474,-816272.0567,-947918.1228,-923114.001,-902628.9158,-907924.7589
240.3,-773252.7809,-779167.3345,-801192.2329,-815866.2144,-777786.6752,-883635.8976,-723429.6797,-827152.2092,-833886.405,-841129.8929,-976448.4333,-926301.0561,-910019.621,-907699.9542
240.2,-781313.9216,-800400.4426,-825632.2903,-838103.981,-790869.1186,-911563.413,-756485.9267,-847255.3253,-847209.5686,-863534.771,-1002052.303,-928376.0239,-915765.0737,-910867.115
240.1,-790916.8648,-823213.1524,-847100.1503,-858139.4567,-806139.927,-937443.8125,-789434.7449,-866574.6088,-858400.0711,-884676.3656,-1023679.317,-932231.5251,-922664.3915,-917499.8502
240,-795856.6013,-849465.5739,-869737.7908,-877031.0143,-821309.2749,-962606.0303,-824979.7597,-889717.5627,-869503.039,-907304.0591,-1042069.54,-938617.5718,-933182.4691,-926971.4915
239.9,-801013.1848,-875952.7472,-895053.1943,-897772.7351,-835649.0334,-985750.9736,-861380.2262,-910930.7766,-883896.512,-929193.6767,-1056299.88,-948813.363,-943495.6362,-936638.0963
239.8,-805901.1963,-900287.3653,-921617.9551,-921787.0561,-848832.9375,-1011207.626,-898095.0215,-934043.8891,-898978.3252,-946320.6164,-1070070.664,-958481.9572,-953934.1369,-954554.8368
239.7,-811195.05,-925455.5515,-943429.9853,-946461.8654,-862100.3972,-1036359.897,-932878.0874,-960602.6817,-914525.6633,-964024.4887,-1085458.848,-970714.9171,-965578.2278,-976720.9842
