WL,MEA25,MEA30,MEA35,MEA40,MEA45,MEA50,MEA55,MEA60,MEA65,MEA70,MEA75,MEA80,MEA85,MEA90
191.8,1033102.702,-774791.7023,-682279.9137,-196411.1284,-974245.4946,832600.1271,1025341.312,925969.6488,1179950.191,1883757.016,1288255.413,2230603.585,81335.18799,549182.0257
191.7,680888.8338,-587417.817,-674303.5929,-183934.5945,-1169020.562,1060733.251,1055732.129,788103.4812,998896.8633,1915115.022,1589017.236,2230165.763,-188726.9543,591632.8488
191.6,282182.2493,-418384.6933,-602600.2899,-129005.0483,-1219521.339,1258151.171,1072590.266,616053.3659,747125.3321,1858546.43,1825745.601,2196931.093,-447710.8069,598775.3177
191.5,-47501.29888,-330704.8675,-586235.6976,-36774.46087,-1231169.395,1354872.021,1063286.549,472991.0472,453511.9484,1860367.371,2025444.176,2101266.986,-755026.0291,687997.471
191.4,-352601.9378,-264828.5773,-579732.0508,83869.18232,-1164883.144,1347514.621,1016676.417,254716.8792,171295.6684,1900332.559,2216971.4,2014319.517,-1031214.097,791709.5424
191.3,-521167.388,-213080.007,-525223.2118,277935.3759,-1046430.402,1271138.563,958864.0117,63699.71783,-113799.0923,1939288.767,2370029.991,1934375.21,-1415317.328,826697.4905
191.2,-736874.327,-175061.1366,-332818.3537,517654.8615,-907005.9859,1169112.106,905481.5693,-162867.1969,-295450.246,1988597.475,2499446.194,1866080.948,-1752967.644,809624.4226
191.1,-918972.4572,-151089.7851,-155677.1646,749386.0857,-743704.3502,1070224.037,827646.7682,-374176.6119,-449834.2436,1947756.642,2533616.211,1823616.194,-1963679.432,764315.8159
191,-1041150.667,-82471.93311,-18037.09224,989947.3836,-577927.0301,981959.1222,710021.9077,-563761.4983,-575847.3756,1857390.182,2475505.291,1807359.068,-2084530.245,758655.9715
190.9,-1082112.895,-42789.33911,91546.78911,1227708.611,-401395.2096,891222.5028,573214.4733,-763776.4988,-611716.938,1748844.157,2368019.99,1813735.348,-2064848.156,730044.3038
190.8,-1062134.281,-37341.44036,146556.1383,1490155.038,-207406.2319,777926.1098,417206.5541,-919360.5267,-587525.2824,1631416.317,2195836.538,1841576.847,-2015453.874,743760.073
190.7,-1075712.733,-25701.74348,192057.7847,1750521.812,-25469.2998,672576.1861,260888.1793,-1073485.811,-548797.9364,1471350.584,1960481.342,1848355.128,-1901062.926,759714.7047
190.6,-1045849.293,4383.911686,215042.2456,2013085.655,146262.0015,571067.1554,81557.68117,-1177623.764,-500828.566,1308454.928,1634534.803,1840631.549,-1713661.179,740255.5069
190.5,-996347.5452,22626.83997,208174.4105,2276574.895,307404.7767,447068.0046,-119569.1882,-1242777.648,-417314.0195,1217867.566,1313048.079,1882135.085,-1459722.429,753340.4144
190.4,-925810.4408,40610.37862,161858.6142,2510869.368,426088.3704,352068.591,-330495.907,-1257500.408,-315590.058,1107669.759,975962.9509,1936763.33,-1161255.192,704949.1428
190.3,-816965.9015,45167.70762,91821.2239,2669500.239,485156.5285,278389.1187,-552091.5519,-1210671.365,-169585.7745,1017386.882,644189.3997,1970047.752,-908180.1449,715564.3362
190.2,-733019.5033,47002.38081,-14884.11711,2779333.858,517404.1089,240453.8325,-762152.5772,-1197920.794,-30092.70012,909475.7,352550.1952,2006279.513,-590221.8679,763209.3203
190.1,-606301.8759,48189.47546,-118746.2819,2909605.804,527527.7476,238220.9403,-895950.9804,-1223210.985,80919.25709,792382.1962,39805.9802,2006478.523,-268697.3317,763241.1619
190,-560324.5956,62559.58954,-206886.8158,3016951.798,521105.6949,260488.1692,-1012427.553,-1215996.872,209505.7874,649584.5608,-237653.7618,2049603.99,39894.14163,758701.7438
