WL,Beta25 ME,Beta30 ME,Beta35 ME,Beta40 ME,Beta45 ME,Beta50 ME,Beta55 ME,Beta60 ME,Beta65 ME,Beta70 ME,Beta75 ME,Beta 80 ME,Beta85ME,Beta90 ME
244.8,-34459.18789,-246017.9752,-103647.3294,-189983.6975,-153651.6671,-122683.717,-237801.6596,-128444.2893,-173001.5877,-144123.5261,-160136.3892,-77427.13653,-314925.6081,-93295.76643
244.7,-41570.37922,-251671.9144,-111079.2157,-187067.8007,-157234.4183,-133673.8846,-234940.8698,-131779.5564,-174348.029,-153934.7619,-163003.3462,-78412.29864,-321558.3433,-93302.33153
244.6,-47530.88847,-254988.282,-119662.1819,-183294.4627,-158342.7257,-145957.376,-230281.6419,-138410.1032,-175611.5113,-160584.6061,-163602.9582,-83804.62878,-328437.7669,-96722.74592
244.5,-56678.05495,-258300.6708,-131052.4224,-178013.3413,-161117.5724,-157189.4574,-222594.5128,-147732.3389,-177680.5109,-166446.2411,-160538.4515,-92443.89565,-331963.0239,-100233.2812
244.4,-68463.39482,-258983.0427,-142418.9888,-170847.8387,-165613.8666,-170628.0075,-216186.5823,-156429.8958,-181184.6799,-172913.8541,-155562.5075,-103496.7301,-332002.8123,-107369.3403
244.3,-81877.67398,-260705.8828,-156454.1668,-164393.3558,-172053.4288,-182270.9047,-206746.7718,-167431.4032,-185913.3387,-177802.4625,-150595.9138,-114206.5881,-332923.915,-112501.255
244.2,-96469.49241,-258155.4429,-173100.2631,-155500.4375,-183439.0937,-190991.539,-193783.0969,-179513.167,-190262.0177,-182908.9126,-152406.8853,-128133.1436,-332896.0631,-117108.36
244.1,-114959.7835,-255447.8387,-186546.7709,-145773.9512,-196654.6295,-200008.5972,-180718.1603,-190797.3713,-196594.9469,-189139.1875,-152067.0919,-144337.787,-331272.6942,-119430.6131
244,-133370.0998,-251502.8135,-200114.0366,-140836.4031,-209697.0856,-203842.2147,-166326.8757,-202702.2755,-203018.5937,-197180.0361,-154090.3348,-159135.3117,-327490.8017,-121955.3894
243.9,-155782.9356,-245490.7782,-213224.332,-139672.3919,-220042.0835,-207039.2169,-154637.8239,-211909.3236,-209868.176,-207084.9736,-155839.0373,-173905.7803,-323836.2323,-125598.818
243.8,-175265.3517,-240823.5926,-224798.7931,-138576.021,-229390.3806,-207900.6369,-146894.1951,-217049.9918,-219534.7807,-217453.8446,-159933.0702,-188528.0369,-316576.8289,-129470.2346
243.7,-192456.3509,-237714.125,-235734.6495,-141736.4179,-236064.8936,-211404.0103,-140120.2109,-223418.1337,-230498.489,-226871.7715,-165782.9675,-203891.9503,-307853.2106,-136095.211
243.6,-209102.2482,-231437.4965,-246521.2992,-146005.9179,-244122.0554,-216825.187,-135434.7226,-226312.7437,-244687.0515,-237091.4357,-168216.8272,-219475.098,-294285.348,-145919.5769
243.5,-228694.0826,-224975.8517,-254120.8937,-150397.1705,-250732.9069,-224249.7124,-129078.7162,-226577.3369,-257059.271,-247627.4182,-168539.3126,-232153.6887,-279046.3703,-155461.8427
243.4,-245741.4455,-219604.4105,-260518.877,-157162.9981,-257407.42,-231461.3696,-124361.5961,-223825.9654,-266586.6162,-255943.2049,-168291.2316,-241955.5741,-269071.4051,-164079.6239
243.3,-258163.4006,-217201.1879,-263877.0225,-165534.4887,-263626.3553,-237409.7433,-119773.9874,-219246.3144,-276430.2795,-266709.9604,-165660.618,-249955.0427,-258408.0996,-171535.5821
243.2,-267382.3852,-215567.8719,-263936.7052,-175549.8392,-270348.6144,-245082.9466,-116991.5809,-213498.8723,-283960.2443,-275811.5691,-161609.1588,-254299.9418,-245984.155,-181469.9632
243.1,-271661.6334,-212233.5995,-260568.6126,-188219.2785,-273412.3253,-252195.1326,-115753.5631,-210839.0142,-291287.288,-283196.306,-158259.5678,-259492.3349,-230856.5851,-191057.1899
243,-277409.0755,-207757.3985,-255167.3301,-201064.9807,-273018.4197,-261211.1961,-118032.2479,-208992.83,-300370.9919,-290937.1496,-154248.8917,-264953.3002,-217670.6917,-201470.8229
242.9,-279382.5828,-205015.9741,-248775.315,-216013.5026,-271422.9027,-272113.2323,-123239.1638,-206973.566,-307648.3,-298994.3114,-153590.3928,-271872.5122,-205210.9375,-209870.1654
242.8,-282088.1976,-202451.6083,-241943.6376,-233361.2682,-272833.4034,-281670.4188,-132299.3925,-204826.9789,-313087.3816,-307399.6222,-154765.5448,-277936.2725,-193067.3026,-213588.3963
242.7,-282681.0456,-197861.2144,-236773.1281,-249567.1053,-271759.1151,-292691.8204,-140076.6426,-203547.7801,-316505.2097,-312592.0153,-158689.681,-284676.4365,-183023.7023,-217644.8292
242.6,-282517.9129,-196528.3012,-229481.894,-267217.2632,-267818.0688,-304510.9805,-151778.6256,-199525.1675,-320507.9281,-316192.8704,-160984.0822,-292459.058,-176147.4618,-224532.2104
242.5,-283066.9935,-195858.6615,-224146.2624,-285271.2739,-262975.814,-314704.7822,-164098.7223,-198295.7043,-324709.5888,-320929.6857,-160012.6471,-298079.177,-172638.717,-230401.0073
242.4,-283003.332,-195592.6757,-223296.779,-302073.9377,-256816.5615,-324450.9639,-176718.0282,-199294.3945,-329329.0282,-325600.8502,-156689.7144,-301009.5966,-171442.4771,-237463.4578
242.3,-280994.0151,-197608.7567,-218924.0279,-316586.7761,-251673.9039,-336755.5431,-190056.9082,-203269.261,-333321.7995,-327047.1604,-155600.7045,-302075.9271,-175289.8216,-246117.4464
242.2,-274999.8846,-198621.3728,-213902.7251,-331137.4134,-248659.9285,-349525.6472,-201076.9172,-209034.6079,-334250.8599,-324198.3072,-153176.5929,-307331.9818,-180721.5423,-255125.5522
242.1,-274914.3395,-204104.8185,-210841.0036,-340983.0662,-251092.9925,-361402.5005,-214061.8789,-214071.826,-336785.3844,-321200.2472,-150960.1771,-313328.1017,-188323.5242,-262723.1574
242,-271733.2526,-211728.2861,-211503.4814,-349593.2875,-252807.8748,-369286.5825,-229710.6776,-219385.574,-338740.9869,-319326.2111,-151889.2375,-320879.9502,-201874.6757,-270267.0481
241.9,-268979.8916,-222626.3435,-215028.7383,-357284.3956,-256731.0163,-374546.616,-244842.2264,-227482.5242,-339654.1319,-319841.4715,-157979.2582,-329820.4156,-218010.8829,-277029.0958
241.8,-267627.0842,-234196.8257,-222952.6088,-362779.181,-263345.8467,-376341.0753,-260765.5655,-236277.7619,-343336.5532,-321166.427,-165001.1244,-340738.3672,-237262.5261,-286926.4735
241.7,-266765.6642,-249577.0524,-233918.3066,-370342.9659,-270957.3778,-374669.9602,-277874.6004,-245614.1224,-349314.7683,-321990.048,-172110.9232,-352330.7331,-257582.4892,-298900.8086
241.6,-266389.6633,-264330.6109,-249201.0515,-376631.531,-279792.4038,-368958.3278,-294796.6296,-255877.554,-357395.8032,-324878.6897,-178943.3964,-360194.9209,-282565.659,-310871.1647
241.5,-267296.8401,-280060.9759,-268542.2187,-382305.3644,-288360.8473,-363280.5155,-312152.3529,-265575.9895,-366710.2801,-329416.5628,-185547.4839,-368673.8403,-307043.5155,-325919.1578
241.4,-265313.3857,-298192.5741,-287167.1937,-383401.5363,-299428.0056,-355684.8997,-329219.61,-274389.1319,-375342.3851,-335311.2222,-191820.7303,-375171.2947,-333186.5188,-341372.9931
241.3,-265643.6298,-314778.3909,-305827.9783,-382563.9894,-315120.5716,-346175.4594,-342132.9525,-284445.6635,-382114.3799,-339015.5272,-198936.4973,-378535.4085,-361167.7486,-360077.545
241.2,-267318.7237,-331654.6633,-323002.6642,-379283.4314,-333287.9793,-337260.8564,-350297.5431,-293764.1192,-387710.6258,-343133.6321,-206261.3527,-379255.5795,-389339.963,-378083.8095
241.1,-269051.5109,-351310.1593,-338866.3205,-375473.687,-348918.8732,-328322.3804,-354924.9403,-302521.5578,-389097.2534,-348576.6925,-215448.5065,-379412.7439,-419215.1232,-395286.3473
241,-269445.4166,-373848.3287,-356259.8429,-370971.6235,-364253.3432,-317617.297,-362329.5714,-310891.059,-393557.539,-354741.9134,-224613.7768,-380405.4658,-449792.5496,-410714.3201
240.9,-270605.25,-396579.4721,-370953.7187,-366372.0783,-380920.7263,-308933.4671,-367410.5569,-319584.836,-397695.5382,-362938.3348,-234610.6257,-381561.3204,-476210.0931,-428430.129
240.8,-273060.1975,-417368.9389,-383568.6478,-358525.7953,-398813.5937,-303587.8884,-370406.6275,-326060.4068,-400663.7568,-370647.3476,-248735.5266,-384245.0515,-500319.9064,-447994.1115
240.7,-279694.9221,-436357.9783,-393414.3006,-354111.2664,-414655.3664,-298654.1201,-374747.5477,-334242.9022,-406104.8278,-376255.5301,-264306.7378,-389902.9696,-521463.4905,-467534.2209
240.6,-292878.8261,-455585.7484,-406381.3575,-350150.3259,-429826.7037,-294904.0584,-384213.2208,-337662.7198,-411937.8151,-383896.9026,-282400.537,-396567.5355,-539573.2051,-485711.5758
240.5,-307483.1779,-475834.0923,-418325.8512,-347464.6053,-442435.6645,-291872.1783,-391333.3645,-342791.4514,-415429.2518,-391359.227,-300826.5697,-401358.0653,-553278.3378,-500970.4477
240.4,-323263.2785,-493577.753,-427954.6569,-346945.366,-454652.7091,-287775.957,-395441.5223,-347116.4563,-417985.66,-395992.5924,-316624.5751,-405002.6876,-564321.623,-512351.9347
240.3,-340246.9798,-507495.754,-435735.289,-345033.5308,-462154.822,-287652.6128,-398031.7506,-353715.3713,-421311.9747,-399931.6493,-331091.6567,-410407.949,-571734.2119,-526039.1627
240.2,-359556.3162,-522285.1221,-439360.0171,-342984.4254,-465512.9675,-287939.0897,-400409.1107,-357899.1272,-425776.2391,-407103.518,-344890.2923,-413095.659,-577354.3309,-537824.5026
240.1,-381688.6434,-533732.2601,-442005.9492,-340292.7366,-464657.5157,-290722.292,-401023.8423,-364577.619,-429991.8258,-415013.4625,-358416.377,-416688.5564,-580746.2966,-545121.7049
