WL,BCoh25ME,BCoh30ME,BCoh35ME,BCoh40ME,BCoh45ME,BCoh50ME,BCoh55ME,BCoh60ME,BCoh65ME,BCoh70ME,BCoh75ME,BCoh80ME,BCoh85ME,BCoh90ME
243.1,-517756.9788,-678971.7936,-728979.9468,-783164.4288,-672291.1716,-797711.3892,-839898.3264,-986252.8308,-831523.1076,-887076.3024,-898554.9396,-810571.2732,-927636.3264,-362861.8068
243,-529040.0856,-699359.598,-750017.0124,-812416.278,-698394.48,-822145.1688,-859305.972,-999458.6532,-866598.2532,-910605.1272,-936510.3984,-844365.444,-963293.0496,-376060.1088
242.9,-544627.368,-718975.308,-772237.2876,-839848.1904,-725623.3416,-846122.7108,-877989.1524,-1011684.317,-898136.304,-933359.3508,-977333.6364,-880611.2652,-999212.9868,-395121.816
242.8,-563069.8956,-736334.898,-793665.414,-862449.4992,-750929.4876,-866891.5488,-894503.9508,-1024361.204,-934354.5504,-957760.542,-1013975.532,-918017.7348,-1036376.297,-419791.2348
242.7,-581650.2972,-753298.4136,-819543.1104,-884837.73,-772121.9748,-887620.278,-910773.0828,-1036644.524,-967198.644,-980675.2008,-1048431.498,-955278.81,-1074627.558,-444989.5884
242.6,-598117.4664,-770284.4904,-849792.666,-901397.6508,-792840.6768,-908389.116,-926317.7496,-1048534.277,-997646.2368,-1001937.878,-1082458.801,-988416.1992,-1109081.017,-469328.1096
242.5,-618633.1176,-789416.388,-880087.344,-913309.9644,-811055.0856,-928290.6012,-944552.2128,-1060045.502,-1032142.312,-1025619.618,-1114688.729,-1019292.455,-1143429.191,-497261.382
242.4,-641209.3584,-804677.7864,-912931.4376,-920928.1296,-831653.4612,-950515.89,-962520.9552,-1070669.321,-1067515.766,-1052452.405,-1142877.695,-1050223.86,-1184891.663,-531571.9536
242.3,-662880.6444,-822676.6104,-944657.4984,-928796.9748,-855142.1772,-974806.782,-980923.374,-1086600.035,-1102370.314,-1078457.948,-1159625.626,-1080102.409,-1225053.106,-560422.7148
242.2,-691809.1164,-841164.2604,-976160.454,-937039.3332,-877141.854,-998262.9096,-998348.1408,-1105360.926,-1135249.502,-1100059.044,-1177684.613,-1111424.875,-1266936.72,-586485.9144
242.1,-723547.7112,-861757.6224,-1008147.222,-944502.0768,-900101.6352,-1026268.879,-1016321.897,-1124146.885,-1166619.598,-1122718.009,-1191121.061,-1146033.756,-1311527.678,-613353.7968
242,-756218.8356,-882085.2636,-1043069.453,-954266.0628,-921828.0708,-1056410.642,-1039098.682,-1146690.538,-1197154.928,-1149272.542,-1201988.039,-1179837.954,-1353511.565,-638221.2528
241.9,-789521.6736,-902545.7652,-1075918.56,-968925.8292,-945650.1912,-1092661.477,-1061484.406,-1167562.154,-1232591.053,-1179810.379,-1210212.85,-1210433.448,-1391266.48,-665991.5832
241.8,-825815.124,-929105.3112,-1110464.771,-985558.4472,-969805.716,-1131572.027,-1089548.032,-1191662.53,-1268317.967,-1210809.468,-1220520.811,-1240871.014,-1427532.355,-695095.5312
241.7,-862015.8228,-959237.0472,-1146778.276,-1004682.824,-995881.4496,-1169146.452,-1122978.716,-1217053.907,-1305248.144,-1239720.392,-1231254.929,-1271496.589,-1462301.671,-717428.6124
241.6,-899181.6396,-999070.0992,-1185686.318,-1025614.604,-1023742.025,-1200423.796,-1159274.674,-1240239.3,-1339014.74,-1269889.73,-1247358.612,-1299041.308,-1492551.227,-744414.3144
241.5,-931887.8592,-1040703.034,-1223396.111,-1045235.328,-1052908.643,-1233658.95,-1197721.465,-1263414.666,-1371630.715,-1302738.838,-1270483.842,-1323853.614,-1521905.855,-770698.1124
241.4,-965521.5948,-1087976.268,-1261845.409,-1067588.464,-1086296.712,-1265415.092,-1236932.831,-1290791.429,-1403128.657,-1334444.844,-1295742.359,-1350518.446,-1554574.472,-796926.7608
241.3,-996097.0344,-1136713.474,-1303804.228,-1091954.56,-1121304.174,-1296203.61,-1275209.16,-1324144.403,-1435436.296,-1363160.238,-1323620.482,-1379156.129,-1587894.858,-824566.7376
241.2,-1028943.635,-1187125.222,-1344301.582,-1120527.066,-1159560.449,-1326593.546,-1314560.906,-1355191.121,-1467052.057,-1393938.728,-1353128.024,-1410613.962,-1621250.339,-851873.31
241.1,-1062221.405,-1244706.418,-1383199.597,-1156797.955,-1199962.544,-1356991.003,-1350982.204,-1388624.312,-1496163.526,-1422864.694,-1386197.73,-1439564.995,-1653838.739,-876775.8612
241,-1099256.868,-1301342.55,-1419237.354,-1199127.78,-1242751.114,-1386004.706,-1385380.513,-1423050.197,-1529426.255,-1450524.725,-1425115.8,-1469864.687,-1694396.256,-894403.6788
240.9,-1135800.998,-1352792.113,-1450858.129,-1245686.576,-1287306.977,-1416374.588,-1416555.078,-1455611.022,-1556870.701,-1472697.371,-1461178.625,-1503017.117,-1733657.758,-914959.4388
240.8,-1172628.397,-1406467.715,-1482641.846,-1294298.442,-1327448.365,-1443390.372,-1444398.106,-1485785.374,-1582567.908,-1492465.996,-1497045.919,-1539059.887,-1772049.4,-932782.7868
240.7,-1210410.887,-1452307.06,-1511349.72,-1341601.758,-1363237.949,-1468663.93,-1474923.409,-1515410.736,-1607643.428,-1509820.572,-1535994.071,-1577561.828,-1810403.44,-947292.1452
240.6,-1246907.388,-1495569.414,-1542672.186,-1390023.107,-1398385.792,-1495258.571,-1501823.88,-1543805.26,-1637010.59,-1528867.238,-1581479.957,-1615898.321,-1848958.024,-954007.8624
240.5,-1278818.952,-1541338.568,-1573230.078,-1438146.146,-1436857.651,-1521206.458,-1531466.79,-1575065.056,-1665813.722,-1547763.497,-1629796.02,-1654751.214,-1884296.383,-963476.046
240.4,-1311121.577,-1589228.476,-1600767.276,-1487108.964,-1478405.354,-1544113.596,-1563674.156,-1603868.188,-1697457.059,-1569487.426,-1682057.786,-1694168.137,-1918586.9,-972535.6212
240.3,-1342454.07,-1635107.929,-1627183.934,-1536294.887,-1522016.154,-1564759.601,-1597463.314,-1634586.515,-1722291.926,-1591426.939,-1736066.792,-1738002.042,-1952110.337,-987019.9116
240.2,-1375987.534,-1681375.937,-1653951.545,-1581469.93,-1568294.189,-1586852.029,-1632275.245,-1666227.344,-1750709.011,-1616963.711,-1794956.538,-1788170.63,-1987579.05,-1004680.318
240.1,-1415236.501,-1725222.376,-1680694.087,-1625296.314,-1612471.525,-1610654.095,-1664104.085,-1695920.39,-1779815.466,-1646985.148,-1852941.329,-1843946.93,-2026223.879,-1021676.422
240,-1452199.267,-1766431.661,-1703668.909,-1670180.568,-1660692.33,-1643330.233,-1691896.976,-1729268.351,-1812371.278,-1681187.927,-1906383.798,-1907173.44,-2063833.399,-1037840.268
239.9,-1494220.756,-1805289.568,-1727566.234,-1718985.457,-1712457.75,-1679470.769,-1723284.619,-1764305.894,-1846551.496,-1719439.188,-1957011.131,-1970154.283,-2099028.871,-1046320.772
239.8,-1539947.294,-1843821.59,-1752350.965,-1767266.425,-1763892.272,-1720356.677,-1758219.384,-1800940.27,-1886732.993,-1762490.971,-2010629.076,-2030332.524,-2135836.216,-1055761.381
239.7,-1590699.967,-1882531.596,-1780186.472,-1815554.914,-1819437.947,-1770512.731,-1797711.511,-1839534.962,-1931642.315,-1815715.349,-2058493.915,-2094534.179,-2174716.684,-1064735.725
239.6,-1641816.126,-1921291.738,-1813333.889,-1866816.467,-1874961.06,-1824263.537,-1843167.316,-1882852.466,-1981983.872,-1875968.794,-2106707.2,-2156203.966,-2211659.395,-1073176.121
239.5,-1693661.764,-1961184.953,-1850173.822,-1917318.46,-1937362.832,-1880373.241,-1892508.66,-1927771.816,-2033847.058,-1942674.742,-2154875.362,-2219568.349,-2248574.532,-1083057.926
