WL,Beta25 ME,Beta30 ME,Beta35 ME,Beta40 ME,Beta45 ME,Beta50 ME,Beta55 ME,Beta60 ME,Beta65 ME,Beta70 ME,Beta75 ME,Beta80 ME,Beta85 ME,Beta90 ME
242.5,-410795.8864,-218933.975,-498366.2934,-440384.5698,-548219.236,-438078.8289,-425221.1902,-494397.3952,-466042.1539,-516945.5117,-590725.2407,-491765.389,-552673.5533,-638294.3261
242.4,-426997.7446,-212687.1879,-511174.1965,-457589.097,-556475.3401,-444126.6738,-432108.5715,-494588.3797,-475292.9693,-521656.4645,-598732.6669,-490456.3489,-569784.5777,-646323.6359
242.3,-438369.2846,-210803.2046,-522187.6404,-474550.9146,-560096.0893,-455004.8369,-434004.4913,-493810.5155,-487092.2351,-527889.3258,-605552.4078,-489403.9443,-584625.6708,-650581.0005
242.2,-446868.0982,-211907.3342,-535126.8454,-489590.95,-557909.7138,-467876.4016,-434545.6142,-494282.0086,-494966.37,-531066.4338,-611644.02,-489455.6693,-600041.707,-655132.7995
242.1,-455796.6272,-219916.7498,-549118.455,-503272.2097,-550570.7336,-483385.9407,-437947.527,-496154.0554,-502160.1224,-536839.7383,-615326.4414,-492473.6234,-614568.4713,-659797.9957
242,-461329.2116,-236920.3454,-562682.3388,-517526.4231,-540257.5665,-500142.8478,-443283.1586,-496814.5437,-510937.4552,-545199.2924,-613356.9129,-498921.3423,-628613.7954,-657943.8537
241.9,-469654.9455,-261656.8268,-577859.6443,-529560.4408,-528683.1054,-516328.7906,-448364.1441,-500620.3093,-519217.4324,-554802.2356,-612638.7314,-511956.0396,-643202.2318,-655839.0446
241.8,-477172.9737,-289842.9672,-594907.0071,-545264.9433,-517309.576,-532090.9864,-457943.2142,-506399.5821,-528002.7228,-565192.9902,-612855.5784,-522446.2653,-659380.2169,-653139.398
241.7,-486284.5295,-324439.0273,-612183.1536,-558781.0809,-506873.0647,-548676.8032,-466022.2597,-512654.327,-540223.7463,-579803.3102,-615332.4096,-534766.7599,-670855.2068,-652347.6078
241.6,-496392.7861,-362140.5763,-630191.4075,-567592.2339,-499846.4238,-564976.1431,-475696.8221,-520574.2186,-551376.4498,-600793.7088,-619625.5838,-549052.8041,-679169.0042,-647469.5434
241.5,-504730.4565,-403025.2015,-643600.1163,-577491.6011,-496436.5534,-580137.5332,-485431.0672,-526719.5452,-560675.0113,-621040.0633,-625898.2334,-566086.241,-688161.1946,-640132.5526
241.4,-514936.1948,-445099.5015,-658753.5488,-590914.2358,-494096.9923,-594714.0331,-495903.3881,-531484.2125,-569577.6777,-641451.5398,-635367.8853,-583133.6038,-695539.9633,-636390.4486
241.3,-526916.4981,-484625.351,-676463.3893,-603933.0178,-493293.2656,-604929.7185,-507756.3684,-539933.2906,-580181.3005,-660309.2773,-647809.7347,-600196.882,-706981.1331,-634078.7394
241.2,-537044.6489,-523868.7025,-693039.259,-614542.6088,-494085.0558,-614059.1791,-524779.8581,-549812.7635,-588003.7105,-678084.7688,-659855.6889,-616464.3911,-717570.8299,-633412.2828
241.1,-549200.0214,-564297.75,-711427.4927,-624483.7539,-498169.3405,-622337.1669,-542428.0266,-560565.5931,-597157.0442,-695036.6394,-670475.2271,-635511.1238,-728281.8815,-632461.3388
241,-561202.2083,-600642.5127,-735459.7185,-629367.7866,-506992.4301,-628840.5896,-559907.0942,-569762.694,-606704.2835,-715822.1274,-680458.1501,-659636.8524,-735895.4021,-634468.6663
240.9,-573950.4288,-633802.2097,-760132.5384,-634693.471,-520058.9581,-635690.1718,-582968.4817,-583615.0441,-614882.8001,-733543.9045,-688937.0695,-682019.8469,-743805.3466,-643206.2106
240.8,-588361.8066,-663983.741,-785266.9044,-637898.431,-538483.0015,-640625.9294,-605275.8781,-598736.6458,-623296.0686,-755332.0615,-700022.1326,-710090.6007,-751922.1911,-655031.339
240.7,-604312.9975,-690876.7566,-808576.9698,-636221.3476,-561417.066,-646992.082,-630408.2546,-613543.9187,-630350.5614,-774219.6403,-710866.4755,-738328.466,-761527.1237,-671010.3818
