WL,BCoh25ME,BCoh30ME,BCoh35ME,BCoh40ME,BCoh45ME,BCoh50ME,BCoh55ME,BCoh60ME,BCoh65ME,BCoh70ME,BCoh75ME,BCoh80ME,Bcoh 85ME,Bcoh90ME
230.5,-9084492.792,-8975973.42,-9194591.448,-9080206.164,-8892772.728,-8883673.044,-8984245.86,-8735145.144,-8995727.004,-8769613.644,-8704737.66,-8764173.888,-8945666.208,-8735019.804
230.4,-9204743.988,-9094419.72,-9321059.508,-9196697.16,-8992668.708,-8995250.712,-9094319.448,-8812906.08,-9075894.468,-8849455.224,-8811853.224,-8839753.908,-9017962.32,-8812304.448
230.3,-9328579.908,-9212164.116,-9443892.708,-9314591.964,-9092113.464,-9109686.132,-9205746.708,-8902072.956,-9159746.928,-8934711.492,-8922202.56,-8922653.784,-9087977.244,-8898387.96
230.2,-9447677.976,-9331913.952,-9568179.852,-9428375.616,-9185140.812,-9221614.752,-9315318.936,-9002971.656,-9237006.504,-9024154.116,-9036888.66,-9003548.22,-9165763.248,-8986878
230.1,-9565698.12,-9449056.716,-9691389.072,-9544816.476,-9271600.344,-9335473.608,-9426470.448,-9109911.744,-9311583.804,-9119512.788,-9147363.336,-9088929.828,-9245153.604,-9078802.356
230,-9679431.636,-9567879.036,-9808882.788,-9665042.604,-9360817.356,-9445497.06,-9533661.216,-9227982.024,-9386085.9,-9215773.908,-9263152.428,-9179976.804,-9329331.948,-9178547.928
229.9,-9789430.02,-9682314.456,-9919959.096,-9784892.712,-9448981.512,-9547423.548,-9642456.336,-9352770.528,-9462493.164,-9312360.912,-9378364.956,-9270271.74,-9418924.98,-9276488.604
229.8,-9898901.976,-9791861.616,-10027550.95,-9898651.296,-9540730.392,-9643860.144,-9743104.356,-9477684.372,-9538674.816,-9411204.036,-9495081.564,-9358761.78,-9506537.64,-9384982.908
229.7,-10005240.43,-9902737.38,-10136421.28,-10013212.06,-9636490.152,-9736962.696,-9841421.052,-9603701.208,-9617413.404,-9511902.192,-9615533.304,-9447076.344,-9598637.472,-9494479.932
229.6,-10109748.92,-10015292.7,-10243160.82,-10123461.12,-9739218.816,-9829313.208,-9946054.884,-9733052.088,-9693544.92,-9618867.348,-9730595.424,-9534839.412,-9694773.252,-9610043.412
229.5,-10216012.18,-10133137.37,-10343683.5,-10230601.75,-9848690.772,-9920936.748,-10055677.25,-9853829.712,-9763810.524,-9731146.92,-9845281.524,-9627941.964,-9788552.64,-9728213.964
